epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,159.341,0.57955,5.68806,0.45615,0.40528,1.18741,0.99585,1,0.995,0.89143,0.96656,0.97059,0.96706,0.38648,0.58889,2.54934,0.52434,0.30651,1.01298,0.0013004,0.0013004,0.0013004
55,162.273,0.58221,5.51545,0.45843,0.40536,1.18717,0.99542,1,0.995,0.85862,0.61456,0.61765,0.51876,0.238,0.75815,4.17228,0.60272,0.47763,1.15552,0.0012872,0.0012872,0.0012872
56,165.199,0.61058,5.77925,0.44838,0.40701,1.21111,0.99793,1,0.995,0.85499,0.90988,0.91176,0.85276,0.27665,0.73453,3.31906,0.64404,0.39004,1.10797,0.001274,0.001274,0.001274
57,168.137,0.59785,5.54192,0.48188,0.40165,1.19241,0.9982,1,0.995,0.85663,0.88077,0.88235,0.79441,0.32034,0.67807,3.53272,0.56821,0.42517,1.0411,0.0012608,0.0012608,0.0012608
58,171.082,0.597,5.40726,0.44118,0.40226,1.21137,0.99816,1,0.995,0.85075,0.99816,1,0.995,0.45819,0.71539,2.96705,0.51071,0.42717,1.09672,0.0012476,0.0012476,0.0012476
59,174.019,0.57987,5.50046,0.45321,0.41798,1.19785,0.99818,1,0.995,0.84387,0.93942,0.94118,0.89618,0.41387,0.78252,2.95119,0.50877,0.38651,1.192,0.0012344,0.0012344,0.0012344
60,176.965,0.59132,5.50809,0.4729,0.39544,1.19513,0.99215,1,0.995,0.8742,0.93362,0.94118,0.93511,0.34904,0.73659,3.16894,0.46798,0.36547,1.23057,0.0012212,0.0012212,0.0012212
61,180.013,0.58565,5.28104,0.42423,0.4087,1.19824,0.99733,1,0.995,0.88013,0.88,0.88235,0.79441,0.28985,0.71376,4.1667,0.51465,0.36915,1.12995,0.001208,0.001208,0.001208
62,182.935,0.58197,5.18688,0.41982,0.40497,1.19935,0.99664,1,0.995,0.83192,0.93794,0.94118,0.93667,0.33016,0.87369,3.26321,0.5739,0.47984,1.44997,0.0011948,0.0011948,0.0011948
63,185.89,0.58682,5.72116,0.43117,0.41029,1.19611,0.99563,1,0.995,0.89449,0.9077,0.91176,0.89973,0.36407,0.59831,3.96894,0.50568,0.39667,0.9498,0.0011816,0.0011816,0.0011816
